feature,mean_abs_shap
morgan_bit_1410,0.0034733638
morgan_bit_1194,0.0034663922
morgan_bit_1783,0.0034587595
morgan_bit_1255,0.0034061228
morgan_bit_1366,0.003363984
morgan_bit_1724,0.0033343036
morgan_bit_295,0.003318522
morgan_bit_885,0.0032767183
morgan_bit_454,0.0032090547
morgan_bit_1804,0.003206835
morgan_bit_1839,0.0032033876
morgan_bit_1009,0.0031947866
morgan_bit_1104,0.0031868324
morgan_bit_145,0.0031544215
morgan_bit_491,0.003045334
morgan_bit_857,0.0030235494
morgan_bit_1664,0.002990844
morgan_bit_1862,0.002971495
morgan_bit_1651,0.0029677285
morgan_bit_1489,0.0029398259
morgan_bit_1417,0.0028988193
morgan_bit_1250,0.002798096
morgan_bit_883,0.0027908264
morgan_bit_966,0.0027493655
morgan_bit_800,0.0027421846
morgan_bit_419,0.0027165448
morgan_bit_387,0.002708219
morgan_bit_301,0.00263311
morgan_bit_485,0.0026174563
morgan_bit_1733,0.0025890106
morgan_bit_142,0.0025869966
morgan_bit_1036,0.0025582924
morgan_bit_206,0.0025345166
morgan_bit_1440,0.0025106776
morgan_bit_1948,0.0024985482
morgan_bit_1792,0.0024857174
morgan_bit_893,0.002483524
morgan_bit_53,0.0024250792
morgan_bit_464,0.0023628522
morgan_bit_1701,0.0023400083
morgan_bit_365,0.00231949
morgan_bit_961,0.0022800148
morgan_bit_1120,0.0022643362
morgan_bit_1039,0.0022217054
morgan_bit_343,0.002207451
morgan_bit_1482,0.0020899978
morgan_bit_1070,0.0020724342
morgan_bit_205,0.0020670597
morgan_bit_987,0.0019706371
morgan_bit_591,0.0019448778
morgan_bit_345,0.0018899757
morgan_bit_769,0.0018804419
morgan_bit_431,0.0017552361
morgan_bit_1008,0.0017197126
morgan_bit_2021,0.0014382452
morgan_bit_960,0.0014167303
morgan_bit_862,0.0013686748
morgan_bit_1535,0.0013127878
morgan_bit_165,0.0012941062
morgan_bit_407,0.0012520433
morgan_bit_1101,0.0008647613
morgan_bit_1341,0.00082917843
morgan_bit_1087,0.0007430157
morgan_bit_1415,0.0
morgan_bit_1455,0.0
morgan_bit_1414,0.0
morgan_bit_1454,0.0
morgan_bit_1453,0.0
morgan_bit_68,0.0
morgan_bit_69,0.0
morgan_bit_1433,0.0
morgan_bit_1413,0.0
morgan_bit_1180,0.0
morgan_bit_1469,0.0
morgan_bit_1468,0.0
morgan_bit_1467,0.0
morgan_bit_1466,0.0
morgan_bit_1408,0.0
morgan_bit_1465,0.0
morgan_bit_1464,0.0
morgan_bit_1409,0.0
morgan_bit_1458,0.0
morgan_bit_1462,0.0
morgan_bit_1461,0.0
morgan_bit_1460,0.0
morgan_bit_1411,0.0
morgan_bit_1416,0.0
morgan_bit_1412,0.0
morgan_bit_67,0.0
morgan_bit_1451,0.0
morgan_bit_1419,0.0
morgan_bit_1450,0.0
morgan_bit_1439,0.0
morgan_bit_1427,0.0
morgan_bit_1177,0.0
morgan_bit_1443,0.0
morgan_bit_1442,0.0
morgan_bit_1441,0.0
morgan_bit_1428,0.0
morgan_bit_1438,0.0
morgan_bit_1426,0.0
morgan_bit_1437,0.0
morgan_bit_70,0.0
morgan_bit_1429,0.0
morgan_bit_1435,0.0
morgan_bit_1430,0.0
morgan_bit_1431,0.0
morgan_bit_1444,0.0
morgan_bit_1425,0.0
morgan_bit_1449,0.0
morgan_bit_1175,0.0
morgan_bit_1179,0.0
morgan_bit_1418,0.0
morgan_bit_1432,0.0
morgan_bit_1420,0.0
morgan_bit_1448,0.0
morgan_bit_1178,0.0
morgan_bit_1421,0.0
morgan_bit_89,0.0
morgan_bit_1422,0.0
morgan_bit_1423,0.0
morgan_bit_1447,0.0
morgan_bit_1424,0.0
morgan_bit_1446,0.0
morgan_bit_1445,0.0
morgan_bit_1434,0.0
morgan_bit_1493,0.0
morgan_bit_1471,0.0
morgan_bit_1553,0.0
morgan_bit_1551,0.0
morgan_bit_1550,0.0
morgan_bit_1549,0.0
morgan_bit_91,0.0
morgan_bit_1548,0.0
morgan_bit_1547,0.0
morgan_bit_1546,0.0
morgan_bit_1545,0.0
morgan_bit_1544,0.0
morgan_bit_1543,0.0
morgan_bit_1542,0.0
morgan_bit_1541,0.0
morgan_bit_1540,0.0
morgan_bit_1539,0.0
morgan_bit_1538,0.0
morgan_bit_1537,0.0
morgan_bit_1534,0.0
morgan_bit_1533,0.0
morgan_bit_1532,0.0
morgan_bit_1172,0.0
morgan_bit_1530,0.0
morgan_bit_1529,0.0
morgan_bit_1528,0.0
morgan_bit_1552,0.0
morgan_bit_1554,0.0
morgan_bit_1472,0.0
morgan_bit_1555,0.0
morgan_bit_1577,0.0
morgan_bit_1576,0.0
morgan_bit_57,0.0
morgan_bit_1574,0.0
morgan_bit_58,0.0
morgan_bit_1572,0.0
morgan_bit_1571,0.0
morgan_bit_1570,0.0
morgan_bit_1569,0.0
morgan_bit_59,0.0
morgan_bit_1567,0.0
morgan_bit_1566,0.0
morgan_bit_1565,0.0
morgan_bit_1169,0.0
morgan_bit_1563,0.0
morgan_bit_1562,0.0
morgan_bit_1561,0.0
morgan_bit_1560,0.0
morgan_bit_1170,0.0
morgan_bit_1559,0.0
morgan_bit_1558,0.0
morgan_bit_1557,0.0
morgan_bit_1556,0.0
morgan_bit_1527,0.0
morgan_bit_1526,0.0
morgan_bit_1525,0.0
morgan_bit_1524,0.0
morgan_bit_1497,0.0
morgan_bit_61,0.0
morgan_bit_1495,0.0
morgan_bit_1494,0.0
morgan_bit_1406,0.0
morgan_bit_1492,0.0
morgan_bit_1174,0.0
morgan_bit_1491,0.0
morgan_bit_1490,0.0
morgan_bit_62,0.0
morgan_bit_1486,0.0
morgan_bit_1485,0.0
morgan_bit_1484,0.0
morgan_bit_1483,0.0
morgan_bit_1481,0.0
morgan_bit_63,0.0
morgan_bit_1479,0.0
morgan_bit_1478,0.0
morgan_bit_64,0.0
morgan_bit_65,0.0
morgan_bit_66,0.0
morgan_bit_1474,0.0
morgan_bit_1473,0.0
morgan_bit_1498,0.0
morgan_bit_1499,0.0
morgan_bit_1500,0.0
morgan_bit_1512,0.0
morgan_bit_1523,0.0
morgan_bit_1522,0.0
morgan_bit_1521,0.0
morgan_bit_1520,0.0
morgan_bit_1519,0.0
morgan_bit_1518,0.0
morgan_bit_1517,0.0
morgan_bit_1515,0.0
morgan_bit_1514,0.0
morgan_bit_1513,0.0
morgan_bit_1511,0.0
morgan_bit_1501,0.0
morgan_bit_1510,0.0
morgan_bit_1509,0.0
morgan_bit_60,0.0
